dport,sport,protocol,flags,time bw prev packet,spkts,dpkts,pkt_len,ttl,payload size,label
56780,22,6,RA,0.001016378402709961,32,0,0,64,224,ssh-bruteforce
56756,22,6,PA,0.0009095668792724609,54,0,22,64,224,ssh-bruteforce
56756,22,6,RA,0.0012900829315185547,32,0,0,64,224,ssh-bruteforce
22,56668,6,A,0.0012946128845214844,0,32,0,64,224,ssh-bruteforce
56668,22,6,PA,0.0016214847564697266,1144,0,1112,64,224,ssh-bruteforce
22,56668,6,PA,0.0013937950134277344,0,936,904,64,224,ssh-bruteforce
56712,22,6,PA,0.0010352134704589844,73,0,41,64,224,ssh-bruteforce
56680,22,6,PA,0.001115560531616211,73,0,41,64,224,ssh-bruteforce
56736,22,6,PA,0.0016770362854003906,73,0,41,64,224,ssh-bruteforce
22,56706,6,A,0.002440929412841797,0,32,0,64,224,ssh-bruteforce
56706,22,6,PA,0.0025835037231445312,1144,0,1112,64,224,ssh-bruteforce
22,56756,6,A,0.0010521411895751953,0,32,0,64,224,ssh-bruteforce
56756,22,6,R,0.0009665489196777344,20,0,0,64,224,ssh-bruteforce
22,56706,6,PA,0.0011522769927978516,0,936,904,64,224,ssh-bruteforce
22,56712,6,A,0.0012061595916748047,0,32,0,64,224,ssh-bruteforce
56712,22,6,PA,0.0011951923370361328,1144,0,1112,64,224,ssh-bruteforce
22,56680,6,A,0.0012784004211425781,0,32,0,64,224,ssh-bruteforce
56680,22,6,PA,0.0012459754943847656,1144,0,1112,64,224,ssh-bruteforce
22,56736,6,A,0.0011782646179199219,0,32,0,64,224,ssh-bruteforce
22,56712,6,PA,0.0012564659118652344,0,936,904,64,224,ssh-bruteforce
22,56680,6,PA,0.0016171932220458984,0,936,904,64,224,ssh-bruteforce
22,56736,6,PA,0.0013599395751953125,0,936,904,64,224,ssh-bruteforce
56720,22,6,PA,0.005413532257080078,73,0,41,64,224,ssh-bruteforce
56664,22,6,PA,0.0015101432800292969,73,0,41,64,224,ssh-bruteforce
56654,22,6,PA,0.0017619132995605469,73,0,41,64,224,ssh-bruteforce
56736,22,6,PA,0.0010097026824951172,1144,0,1112,64,224,ssh-bruteforce
22,56736,6,PA,0.0009431838989257812,0,80,48,64,224,ssh-bruteforce
22,56720,6,A,0.0009396076202392578,0,32,0,64,224,ssh-bruteforce
56720,22,6,PA,0.0009288787841796875,1144,0,1112,64,224,ssh-bruteforce
22,56664,6,A,0.0012001991271972656,0,32,0,64,224,ssh-bruteforce
22,56654,6,A,0.0009198188781738281,0,32,0,64,224,ssh-bruteforce
56654,22,6,PA,0.0022013187408447266,1144,0,1112,64,224,ssh-bruteforce
22,56720,6,PA,0.0010576248168945312,0,936,904,64,224,ssh-bruteforce
56720,22,6,A,0.002157926559448242,32,0,0,64,224,ssh-bruteforce
22,56654,6,PA,0.0010726451873779297,0,936,904,64,224,ssh-bruteforce
56654,22,6,A,0.0010323524475097656,32,0,0,64,224,ssh-bruteforce
22,56664,6,PA,0.0009436607360839844,0,936,904,64,224,ssh-bruteforce
56664,22,6,A,0.0014598369598388672,32,0,0,64,224,ssh-bruteforce
56644,22,6,PA,0.0010750293731689453,73,0,41,64,224,ssh-bruteforce
22,56720,6,PA,0.0023338794708251953,0,80,48,64,224,ssh-bruteforce
56720,22,6,A,0.0015625953674316406,32,0,0,64,224,ssh-bruteforce
22,56654,6,PA,0.0013859272003173828,0,80,48,64,224,ssh-bruteforce
56654,22,6,A,0.0010464191436767578,32,0,0,64,224,ssh-bruteforce
56770,22,6,PA,0.002480030059814453,73,0,41,64,224,ssh-bruteforce
22,56770,6,A,0.001556396484375,0,32,0,64,224,ssh-bruteforce
22,56644,6,A,0.0009124279022216797,0,32,0,64,224,ssh-bruteforce
22,56644,6,PA,0.000982522964477539,0,936,904,64,224,ssh-bruteforce
56644,22,6,A,0.0012636184692382812,32,0,0,64,224,ssh-bruteforce
22,56770,6,PA,0.001127481460571289,0,936,904,64,224,ssh-bruteforce
56770,22,6,A,0.0012378692626953125,32,0,0,64,224,ssh-bruteforce
56668,22,6,A,0.0011949539184570312,32,0,0,64,224,ssh-bruteforce
