dport,sport,protocol,tcp_flags,time bw prev packet,pkt_len,ttl,payload size,label
22,22,tcp,PA,0.004865407943725586,16,64,248,ssh-bruteforce
22,22,tcp,PA,0.0014765262603759766,44,64,248,ssh-bruteforce
22,22,tcp,PA,0.0011210441589355469,60,64,248,ssh-bruteforce
22,22,tcp,PA,0.001743316650390625,76,64,248,ssh-bruteforce
22,22,tcp,PA,0.014198064804077148,16,64,248,ssh-bruteforce
22,22,tcp,PA,0.0006535053253173828,48,64,248,ssh-bruteforce
22,22,tcp,A,0.0021963119506835938,0,64,248,ssh-bruteforce
22,22,tcp,PA,0.0004961490631103516,904,64,248,ssh-bruteforce
22,22,tcp,PA,0.0004508495330810547,44,64,248,ssh-bruteforce
22,22,tcp,PA,0.002538919448852539,60,64,248,ssh-bruteforce
22,22,tcp,PA,0.0016703605651855469,48,64,248,ssh-bruteforce
22,22,tcp,PA,0.0008189678192138672,84,64,248,ssh-bruteforce
22,22,tcp,PA,0.004110813140869141,48,64,248,ssh-bruteforce
22,22,tcp,PA,0.004137277603149414,48,64,248,ssh-bruteforce
22,22,tcp,PA,0.0050868988037109375,44,64,248,ssh-bruteforce
22,22,tcp,PA,0.005405902862548828,16,64,248,ssh-bruteforce
22,22,tcp,PA,0.0014157295227050781,16,64,248,ssh-bruteforce
22,22,tcp,PA,0.0006210803985595703,60,64,248,ssh-bruteforce
22,22,tcp,PA,0.0005395412445068359,16,64,248,ssh-bruteforce
22,22,tcp,PA,0.0012722015380859375,16,64,248,ssh-bruteforce
22,22,tcp,PA,0.0005023479461669922,76,64,248,ssh-bruteforce
22,22,tcp,PA,0.0007097721099853516,44,64,248,ssh-bruteforce
22,22,tcp,PA,0.0004343986511230469,44,64,248,ssh-bruteforce
22,22,tcp,PA,0.00042939186096191406,60,64,248,ssh-bruteforce
22,22,tcp,PA,0.0008296966552734375,60,64,248,ssh-bruteforce
22,22,tcp,PA,0.0004723072052001953,84,64,248,ssh-bruteforce
22,22,tcp,PA,0.0005059242248535156,76,64,248,ssh-bruteforce
22,22,tcp,PA,0.0004680156707763672,44,64,248,ssh-bruteforce
22,22,tcp,PA,0.0014729499816894531,44,64,248,ssh-bruteforce
22,22,tcp,PA,0.00047469139099121094,60,64,248,ssh-bruteforce
22,22,tcp,PA,0.0004563331604003906,60,64,248,ssh-bruteforce
22,22,tcp,PA,0.0004520416259765625,84,64,248,ssh-bruteforce
22,22,tcp,PA,0.00044345855712890625,76,64,248,ssh-bruteforce
22,22,tcp,PA,2.5354557037353516,52,64,248,ssh-bruteforce
22,22,tcp,FA,0.0004394054412841797,0,64,248,ssh-bruteforce
22,22,tcp,A,0.002183675765991211,0,64,248,ssh-bruteforce
22,22,tcp,PA,0.13008761405944824,76,64,248,ssh-bruteforce
22,22,tcp,PA,0.03875541687011719,76,64,248,ssh-bruteforce
22,22,tcp,PA,0.04082632064819336,76,64,248,ssh-bruteforce
22,22,tcp,PA,0.020716190338134766,76,64,248,ssh-bruteforce
22,22,tcp,PA,0.02001214027404785,76,64,248,ssh-bruteforce
22,22,tcp,PA,0.02025771141052246,84,64,248,ssh-bruteforce
22,22,tcp,PA,0.036431074142456055,76,64,248,ssh-bruteforce
22067,22067,tcp,A,0.007029056549072266,0,64,248,ssh-bruteforce
22,22,tcp,PA,0.0242002010345459,84,64,248,ssh-bruteforce
22,22,tcp,PA,0.019162416458129883,76,64,248,ssh-bruteforce
22,22,tcp,PA,0.0006263256072998047,76,64,248,ssh-bruteforce
22,22,tcp,PA,0.0004489421844482422,84,64,248,ssh-bruteforce
22067,22067,tcp,A,0.13553524017333984,0,64,248,ssh-bruteforce
22,22,tcp,PA,2.5260698795318604,76,64,248,ssh-bruteforce
22,22,tcp,PA,0.038482666015625,76,64,248,ssh-bruteforce
22,22,tcp,PA,0.04229593276977539,76,64,248,ssh-bruteforce
22,22,tcp,PA,0.01966118812561035,76,64,248,ssh-bruteforce
22,22,tcp,PA,0.01388096809387207,76,64,248,ssh-bruteforce
22,22,tcp,PA,0.0245053768157959,76,64,248,ssh-bruteforce
22,22,tcp,PA,0.03683209419250488,76,64,248,ssh-bruteforce
22,22,tcp,PA,0.03140139579772949,76,64,248,ssh-bruteforce
22,22,tcp,PA,0.010649681091308594,76,64,248,ssh-bruteforce
22,22,tcp,PA,0.011504411697387695,76,64,248,ssh-bruteforce
22,22,tcp,PA,0.01427912712097168,76,64,248,ssh-bruteforce
22,22,tcp,PA,2.646320343017578,52,64,248,ssh-bruteforce
22,22,tcp,FA,0.0004620552062988281,0,64,248,ssh-bruteforce
22,22,tcp,A,0.0027418136596679688,0,64,248,ssh-bruteforce
22,22,tcp,PA,0.04426240921020508,52,64,248,ssh-bruteforce
22,22,tcp,FA,0.0004172325134277344,0,64,248,ssh-bruteforce
22,22,tcp,A,0.0028312206268310547,0,64,248,ssh-bruteforce
22,22,tcp,S,0.008235931396484375,0,64,248,ssh-bruteforce
22,22,tcp,A,0.0041294097900390625,0,64,248,ssh-bruteforce
22,22,tcp,PA,0.0005233287811279297,23,64,248,ssh-bruteforce
22,22,tcp,A,0.01501321792602539,0,64,248,ssh-bruteforce
22,22,tcp,PA,0.0018575191497802734,904,64,248,ssh-bruteforce
22,22,tcp,PA,0.009817123413085938,48,64,248,ssh-bruteforce
22,22,tcp,PA,0.0034761428833007812,52,64,248,ssh-bruteforce
22,22,tcp,FA,0.004863262176513672,0,64,248,ssh-bruteforce
22,22,tcp,A,0.028522491455078125,0,64,248,ssh-bruteforce
22,22,tcp,S,0.00882863998413086,0,64,248,ssh-bruteforce
22,22,tcp,A,0.0003147125244140625,0,64,248,ssh-bruteforce
22,22,tcp,PA,0.00039649009704589844,23,64,248,ssh-bruteforce
22,22,tcp,PA,0.0003476142883300781,16,64,248,ssh-bruteforce
22,22,tcp,PA,0.014205217361450195,52,64,248,ssh-bruteforce
22,22,tcp,FA,0.012674331665039062,0,64,248,ssh-bruteforce
22,22,tcp,A,0.008400917053222656,0,64,248,ssh-bruteforce
22,22,tcp,S,0.004706382751464844,0,64,248,ssh-bruteforce
22,22,tcp,A,0.0003654956817626953,0,64,248,ssh-bruteforce
22,22,tcp,PA,0.00025725364685058594,23,64,248,ssh-bruteforce
22,22,tcp,PA,0.0014390945434570312,52,64,248,ssh-bruteforce
22,22,tcp,FA,0.00032520294189453125,0,64,248,ssh-bruteforce
22,22,tcp,A,0.0002639293670654297,0,64,248,ssh-bruteforce
22,22,tcp,PA,0.0002589225769042969,904,64,248,ssh-bruteforce
22,22,tcp,PA,0.016404151916503906,48,64,248,ssh-bruteforce
22,22,tcp,A,0.008563756942749023,0,64,248,ssh-bruteforce
22,22,tcp,PA,0.0004458427429199219,44,64,248,ssh-bruteforce
22,22,tcp,S,0.0004305839538574219,0,64,248,ssh-bruteforce
22,22,tcp,PA,0.010405302047729492,52,64,248,ssh-bruteforce
22,22,tcp,FA,0.002523660659790039,0,64,248,ssh-bruteforce
22,22,tcp,A,0.0009353160858154297,0,64,248,ssh-bruteforce
22,22,tcp,PA,0.002336740493774414,23,64,248,ssh-bruteforce
22,22,tcp,PA,0.0027472972869873047,60,64,248,ssh-bruteforce
22,22,tcp,A,0.01127767562866211,0,64,248,ssh-bruteforce
22,22,tcp,PA,0.008391141891479492,904,64,248,ssh-bruteforce
22,22,tcp,A,0.023146390914916992,0,64,248,ssh-bruteforce
22,22,tcp,PA,0.0074920654296875,84,64,248,ssh-bruteforce
22,22,tcp,PA,0.009638547897338867,48,64,248,ssh-bruteforce
22,22,tcp,S,0.010394096374511719,0,64,248,ssh-bruteforce
22,22,tcp,A,0.018907785415649414,0,64,248,ssh-bruteforce
22,22,tcp,PA,0.00030612945556640625,23,64,248,ssh-bruteforce
22,22,tcp,PA,0.0003173351287841797,16,64,248,ssh-bruteforce
22,22,tcp,S,0.000331878662109375,0,64,248,ssh-bruteforce
22,22,tcp,A,0.0002567768096923828,0,64,248,ssh-bruteforce
22,22,tcp,PA,0.0003058910369873047,23,64,248,ssh-bruteforce
22,22,tcp,PA,0.0003104209899902344,52,64,248,ssh-bruteforce
22,22,tcp,FA,0.12209153175354004,0,64,248,ssh-bruteforce
22,22,tcp,A,0.00038743019104003906,0,64,248,ssh-bruteforce
22,22,tcp,PA,0.0002810955047607422,16,64,248,ssh-bruteforce
22,22,tcp,A,0.00038051605224609375,0,64,248,ssh-bruteforce
22,22,tcp,A,0.0004069805145263672,0,64,248,ssh-bruteforce
22,22,tcp,PA,0.0003867149353027344,904,64,248,ssh-bruteforce
22,22,tcp,A,0.0004684925079345703,0,64,248,ssh-bruteforce
22,22,tcp,PA,0.00030517578125,904,64,248,ssh-bruteforce
22,22,tcp,PA,0.0003552436828613281,48,64,248,ssh-bruteforce
22,22,tcp,PA,0.00041794776916503906,48,64,248,ssh-bruteforce
22,22,tcp,PA,0.0007624626159667969,16,64,248,ssh-bruteforce
22,22,tcp,PA,0.00044274330139160156,44,64,248,ssh-bruteforce
22,22,tcp,PA,0.0003542900085449219,60,64,248,ssh-bruteforce
22,22,tcp,PA,0.0002932548522949219,52,64,248,ssh-bruteforce
22,22,tcp,FA,0.0005311965942382812,0,64,248,ssh-bruteforce
22,22,tcp,PA,0.0003287792205810547,76,64,248,ssh-bruteforce
22,22,tcp,A,0.00036263465881347656,0,64,248,ssh-bruteforce
22,22,tcp,PA,0.000308990478515625,16,64,248,ssh-bruteforce
22,22,tcp,PA,0.0003979206085205078,44,64,248,ssh-bruteforce
22,22,tcp,PA,0.0004057884216308594,60,64,248,ssh-bruteforce
22,22,tcp,PA,0.0005342960357666016,76,64,248,ssh-bruteforce
22,22,tcp,PA,0.0003478527069091797,52,64,248,ssh-bruteforce
22,22,tcp,FA,0.0005412101745605469,0,64,248,ssh-bruteforce
22,22,tcp,S,0.0004029273986816406,0,64,248,ssh-bruteforce
22,22,tcp,S,0.0003857612609863281,0,64,248,ssh-bruteforce
22,22,tcp,A,0.00042247772216796875,0,64,248,ssh-bruteforce
22,22,tcp,PA,0.0003933906555175781,23,64,248,ssh-bruteforce
22,22,tcp,A,0.0004131793975830078,0,64,248,ssh-bruteforce
22,22,tcp,PA,0.00039315223693847656,23,64,248,ssh-bruteforce
22,22,tcp,A,0.000423431396484375,0,64,248,ssh-bruteforce
22,22,tcp,PA,0.0005168914794921875,52,64,248,ssh-bruteforce
22,22,tcp,FA,0.0004279613494873047,0,64,248,ssh-bruteforce
22,22,tcp,PA,0.0004994869232177734,44,64,248,ssh-bruteforce
22,22,tcp,S,0.0004336833953857422,0,64,248,ssh-bruteforce
22,22,tcp,A,0.00039005279541015625,0,64,248,ssh-bruteforce
22,22,tcp,PA,0.0009927749633789062,23,64,248,ssh-bruteforce
22,22,tcp,PA,0.0006504058837890625,60,64,248,ssh-bruteforce
22,22,tcp,A,0.001497030258178711,0,64,248,ssh-bruteforce
22,22,tcp,S,0.0006763935089111328,0,64,248,ssh-bruteforce
22,22,tcp,PA,0.0007696151733398438,84,64,248,ssh-bruteforce
22,22,tcp,PA,0.0016434192657470703,52,64,248,ssh-bruteforce
22,22,tcp,FA,0.0004439353942871094,0,64,248,ssh-bruteforce
22,22,tcp,A,0.00047707557678222656,0,64,248,ssh-bruteforce
22,22,tcp,PA,0.0027191638946533203,23,64,248,ssh-bruteforce
22,22,tcp,PA,0.0003006458282470703,44,64,248,ssh-bruteforce
22,22,tcp,A,0.0002789497375488281,0,64,248,ssh-bruteforce
22,22,tcp,PA,0.00025177001953125,60,64,248,ssh-bruteforce
22,22,tcp,S,0.00028395652770996094,0,64,248,ssh-bruteforce
22,22,tcp,A,0.00024199485778808594,0,64,248,ssh-bruteforce
22,22,tcp,PA,0.0030469894409179688,23,64,248,ssh-bruteforce
22,22,tcp,PA,0.0008294582366943359,84,64,248,ssh-bruteforce
22,22,tcp,S,0.0018343925476074219,0,64,248,ssh-bruteforce
22,22,tcp,A,0.0002541542053222656,0,64,248,ssh-bruteforce
22,22,tcp,PA,0.0002503395080566406,23,64,248,ssh-bruteforce
22,22,tcp,A,0.00028777122497558594,0,64,248,ssh-bruteforce
22,22,tcp,PA,0.01039743423461914,904,64,248,ssh-bruteforce
22,22,tcp,PA,0.0003998279571533203,48,64,248,ssh-bruteforce
22,22,tcp,A,0.00028896331787109375,0,64,248,ssh-bruteforce
22,22,tcp,PA,0.0002551078796386719,904,64,248,ssh-bruteforce
22,22,tcp,A,0.0003409385681152344,0,64,248,ssh-bruteforce
22,22,tcp,PA,0.00025916099548339844,904,64,248,ssh-bruteforce
22,22,tcp,A,0.00033473968505859375,0,64,248,ssh-bruteforce
22,22,tcp,PA,0.00025343894958496094,904,64,248,ssh-bruteforce
22,22,tcp,PA,0.0002872943878173828,48,64,248,ssh-bruteforce
22,22,tcp,PA,0.0003407001495361328,16,64,248,ssh-bruteforce
22,22,tcp,A,0.006705760955810547,0,64,248,ssh-bruteforce
22,22,tcp,PA,0.0009970664978027344,904,64,248,ssh-bruteforce
22,22,tcp,PA,0.0004439353942871094,48,64,248,ssh-bruteforce
22,22,tcp,PA,0.0004284381866455078,48,64,248,ssh-bruteforce
22,22,tcp,PA,0.0006775856018066406,48,64,248,ssh-bruteforce
22,22,tcp,A,0.0008382797241210938,0,64,248,ssh-bruteforce
22,22,tcp,PA,0.0015745162963867188,904,64,248,ssh-bruteforce
22,22,tcp,PA,0.0009038448333740234,16,64,248,ssh-bruteforce
22,22,tcp,PA,0.0008230209350585938,48,64,248,ssh-bruteforce
22,22,tcp,PA,0.0014598369598388672,44,64,248,ssh-bruteforce
22,22,tcp,PA,0.0009148120880126953,60,64,248,ssh-bruteforce
22,22,tcp,PA,0.0004951953887939453,16,64,248,ssh-bruteforce
22,22,tcp,PA,0.0006442070007324219,84,64,248,ssh-bruteforce
22,22,tcp,PA,0.0006768703460693359,16,64,248,ssh-bruteforce
22,22,tcp,PA,0.0002987384796142578,16,64,248,ssh-bruteforce
22,22,tcp,PA,0.0002853870391845703,16,64,248,ssh-bruteforce
22,22,tcp,PA,0.0003437995910644531,44,64,248,ssh-bruteforce
22,22,tcp,PA,0.0002853870391845703,60,64,248,ssh-bruteforce
22,22,tcp,PA,0.00028705596923828125,84,64,248,ssh-bruteforce
22,22,tcp,PA,0.0005896091461181641,44,64,248,ssh-bruteforce
22,22,tcp,PA,0.0003509521484375,60,64,248,ssh-bruteforce
22,22,tcp,PA,0.00030612945556640625,76,64,248,ssh-bruteforce
22,22,tcp,PA,0.0010058879852294922,44,64,248,ssh-bruteforce
22,22,tcp,PA,0.0008237361907958984,44,64,248,ssh-bruteforce
22,22,tcp,PA,0.0017879009246826172,44,64,248,ssh-bruteforce
